iter	Passed	Remaining
427	2766	3697
428	2769	3686
429	2771	3674
430	2774	3662
431	2780	3655
432	2782	3643
433	2785	3632
434	2788	3621
435	2790	3610
436	2794	3600
437	2796	3588
438	2799	3577
439	2812	3578
440	2814	3568
441	2817	3557
442	2819	3545
443	2824	3536
444	2826	3525
445	2828	3514
446	2831	3503
447	2834	3492
448	2837	3481
449	2846	3479
450	2874	3499
451	2878	3489
452	2880	3478
453	2882	3466
454	2894	3467
455	2897	3456
456	2900	3446
457	2906	3439
458	2909	3429
459	2912	3419
460	2915	3408
461	2963	3450
462	2973	3448
463	2975	3437
464	2978	3426
465	2980	3415
466	2989	3412
467	2991	3401
468	2993	3389
469	2997	3379
470	3000	3370
471	3002	3359
472	3005	3348
473	3009	3339
474	3072	3396
475	3074	3384
476	3086	3384
477	3089	3373
478	3098	3370
479	3101	3360
480	3103	3349
481	3114	3347
482	3117	3336
483	3119	3325
484	3121	3315
485	3124	3304
486	3176	3346
487	3179	3336
488	3182	3325
489	3192	3322
490	3195	3312
491	3205	3309
492	3207	3298
493	3210	3288
494	3213	3278
495	3218	3270
496	3221	3260
497	3224	3250
498	3226	3239
499	3299	3299
500	3303	3290
501	3313	3287
502	3316	3276
503	3319	3266
504	3329	3263
505	3336	3257
506	3344	3251
507	3346	3240
508	3348	3229
509	3350	3219
510	3353	3209
511	3384	3225
512	3389	3217
513	3392	3207
514	3395	3197
515	3397	3186
516	3400	3176
517	3403	3166
518	3406	3157
519	3408	3146
520	3411	3136
521	3421	3133
522	3423	3122
523	3442	3126
524	3444	3116
525	3448	3107
526	3450	3096
527	3453	3087
528	3455	3076
529	3459	3067
530	3465	3060
531	3467	3050
532	3473	3042
533	3476	3033
534	3479	3024
535	3481	3013
536	3483	3003
537	3527	3029
538	3530	3019
539	3532	3009
540	3535	2999
541	3537	2989
542	3540	2979
543	3543	2970
544	3546	2961
545	3551	2953
546	3553	2942
547	3555	2932
548	3557	2922
549	3559	2912
550	3611	2942
551	3622	2939
552	3624	2929
553	3626	2919
554	3628	2909
555	3631	2899
556	3633	2889
557	3636	2880
558	3638	2870
559	3640	2860
560	3643	2850
561	3647	2843
562	3650	2833
563	3652	2823
564	3670	2826
565	3672	2816
566	3674	2806
567	3678	2797
568	3680	2787
569	3682	2778
570	3685	2768
571	3687	2759
572	3689	2749
573	3691	2740
574	3694	2730
575	3697	2721
576	3698	2711
577	3700	2702
578	3714	2701
579	3719	2693
580	3721	2684
581	3726	2676
582	3728	2666
583	3730	2657
584	3732	2647
585	3734	2638
586	3736	2629
587	3744	2623
588	3747	2614
589	3749	2605
590	3753	2597
591	3757	2589
592	3767	2585
593	3768	2576
594	3771	2567
595	3775	2559
596	3778	2550
597	3780	2541
598	3782	2532
599	3787	2524
600	3788	2515
601	3792	2507
602	3795	2499
603	3799	2490
604	3808	2486
605	3810	2477
606	3812	2468
607	3814	2459
608	3820	2453
609	3823	2444
610	3826	2435
611	3828	2427
612	3830	2418
613	3840	2414
614	3842	2405
615	3889	2424
616	3891	2415
617	3894	2407
618	3896	2398
619	3900	2390
620	3903	2382
621	3907	2374
622	3910	2366
623	3914	2358
624	3917	2350
625	3919	2341
626	3922	2333
627	3925	2325
628	3970	2342
629	3974	2334
630	3985	2330
631	3988	2322
632	4006	2322
633	4008	2314
634	4012	2306
635	4014	2297
636	4017	2289
637	4019	2280
638	4021	2271
639	4028	2265
640	4038	2261
641	4045	2255
642	4047	2247
643	4050	2239
644	4059	2234
645	4062	2226
646	4066	2218
647	4067	2209
648	4076	2204
649	4078	2196
650	4080	2187
651	4082	2179
652	4088	2172
653	4091	2164
654	4104	2161
655	4107	2153
656	4109	2145
657	4111	2137
658	4113	2128
659	4114	2119
660	4119	2112
661	4120	2104
662	4123	2095
663	4125	2087
664	4137	2084
665	4140	2076
666	4144	2069
667	4148	2061
668	4153	2055
669	4155	2046
670	4159	2039
671	4165	2033
672	4167	2025
673	4176	2019
674	4181	2013
675	4184	2005
676	4187	1998
677	4200	1994
678	4203	1987
679	4205	1978
680	4207	1970
681	4209	1962
682	4213	1955
683	4222	1950
684	4224	1942
685	4226	1934
686	4227	1926
687	4229	1917
688	4232	1910
689	4233	1902
690	4241	1896
691	4243	1888
692	4245	1880
693	4247	1872
694	4248	1864
695	4252	1857
696	4255	1849
697	4258	1842
698	4276	1841
699	4279	1833
700	4282	1826
701	4284	1818
702	4287	1811
703	4290	1804
704	4292	1796
705	4294	1788
706	4297	1781
707	4301	1773
708	4303	1766
709	4305	1758
710	4307	1750
711	4310	1743
712	4343	1748
713	4347	1741
714	4349	1733
715	4351	1725
716	4353	1718
717	4355	1710
718	4357	1702
719	4365	1697
720	4367	1690
721	4369	1682
722	4370	1674
723	4372	1666
724	4374	1659
725	4378	1652
726	4379	1644
727	4381	1637
728	4386	1630
729	4388	1623
730	4390	1615
731	4392	1608
732	4394	1600
733	4398	1593
734	4400	1586
735	4401	1578
736	4403	1571
737	4412	1566
738	4413	1558
739	4416	1551
740	4418	1544
741	4421	1537
742	4427	1531
743	4429	1524
744	4431	1516
745	4433	1509
746	4437	1502
747	4439	1495
748	4441	1488
749	4443	1481
750	4445	1473
751	4446	1466
752	4448	1459
753	4449	1451
754	4452	1444
755	4454	1437
756	4456	1430
757	4458	1423
758	4473	1420
759	4475	1413
760	4477	1406
761	4479	1399
762	4481	1392
763	4490	1387
764	4493	1380
765	4495	1373
766	4497	1366
767	4500	1359
768	4502	1352
769	4504	1345
770	4506	1338
771	4507	1331
772	4509	1324
773	4511	1317
774	4514	1310
775	4516	1303
776	4518	1296
777	4520	1289
778	4521	1282
779	4523	1275
780	4527	1269
781	4529	1262
782	4531	1255
783	4532	1248
784	4534	1241
785	4535	1234
786	4536	1227
787	4538	1220
788	4539	1214
789	4541	1207
790	4543	1200
791	4544	1193
792	4548	1187
793	4551	1180
794	4553	1174
795	4564	1169
796	4567	1163
797	4569	1156
798	4571	1149
799	4573	1143
800	4575	1136
801	4577	1130
802	4594	1127
803	4596	1120
804	4597	1113
805	4599	1107
806	4601	1100
807	4602	1093
808	4613	1089
809	4616	1082
810	4617	1076
811	4619	1069
812	4622	1063
813	4624	1056
814	4626	1050
815	4627	1043
816	4629	1037
817	4631	1030
818	4633	1023
819	4644	1019
820	4645	1012
821	4646	1006
822	4648	999
823	4650	993
824	4656	987
825	4658	981
826	4659	974
827	4660	968
828	4662	961
829	4663	955
830	4664	948
831	4670	943
832	4673	936
833	4674	930
834	4676	924
835	4678	917
836	4679	911
837	4681	904
838	4685	899
839	4712	897
840	4719	892
841	4720	885
842	4722	879
843	4724	873
844	4725	866
845	4727	860
846	4729	854
847	4736	848
848	4737	842
849	4739	836
850	4741	830
851	4742	823
852	4744	817
853	4745	811
854	4746	805
855	4748	798
856	4750	792
857	4756	787
858	4761	781
859	4763	775
860	4765	769
861	4766	763
862	4768	757
863	4770	750
864	4773	745
865	4775	738
866	4776	732
867	4778	726
868	4779	720
869	4780	714
870	4782	708
871	4784	702
872	4786	696
873	4789	690
874	4800	685
875	4801	679
876	4804	673
877	4806	667
878	4808	661
879	4810	655
880	4811	649
881	4813	643
882	4814	637
883	4816	632
884	4818	626
885	4820	620
886	4821	614
887	4822	608
888	4824	602
889	4826	596
890	4828	590
891	4829	584
892	4831	578
893	4845	574
894	4847	568
895	4848	562
896	4851	557
897	4853	551
898	4854	545
899	4856	539
900	4858	533
901	4859	528
902	4861	522
903	4863	516
904	4865	510
905	4867	505
906	4868	499
907	4870	493
908	4872	487
909	4874	482
910	4875	476
911	4887	471
912	4889	465
913	4890	460
914	4892	454
915	4893	448
916	4895	443
917	4896	437
918	4898	431
919	4900	426
920	4902	420
921	4904	414
922	4906	409
923	4908	403
924	4911	398
925	4913	392
926	4915	387
927	4917	381
928	4931	376
929	4934	371
930	4935	365
931	4937	360
932	4939	354
933	4943	349
934	4944	343
935	4946	338
936	4948	332
937	4949	327
938	4950	321
939	4952	316
940	4954	310
941	4960	305
942	4962	299
943	4964	294
944	4966	289
945	4967	283
946	4969	278
947	4970	272
948	4978	267
949	4980	262
950	4982	256
951	4984	251
952	4986	245
953	4989	240
954	4991	235
955	4993	229
956	4994	224
957	4995	219
958	4997	213
959	5005	208
960	5006	203
961	5008	197
962	5009	192
963	5011	187
964	5012	181
965	5014	176
966	5015	171
967	5016	165
968	5020	160
969	5022	155
970	5024	150
971	5025	144
972	5027	139
973	5029	134
974	5030	128
975	5033	123
976	5041	118
977	5043	113
978	5045	108
979	5047	103
980	5049	97
981	5051	92
982	5054	87
983	5055	82
984	5057	77
985	5059	71
986	5061	66
987	5063	61
988	5071	56
989	5072	51
990	5075	46
991	5077	40
992	5110	36
993	5112	30
994	5116	25
995	5119	20
996	5120	15
997	5122	10
998	5124	5
999	5125	0
